num_date_time,건물번호,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),전력소비량(kWh)
1_20240602 16,1,20240602 16,25.4,0.0,4.4,41.0,0.6,2.09,4477.89
1_20240602 17,1,20240602 17,25.2,0.0,4.1,39.0,1.0,2.25,5106.3
1_20240602 18,1,20240602 18,23.9,0.0,4.5,43.0,1.0,1.34,4935.66
1_20240602 19,1,20240602 19,22.8,0.0,3.0,47.0,1.0,0.62,5606.49
1_20240602 20,1,20240602 20,21.4,0.0,2.3,45.0,0.5,0.11,5403.48
1_20240602 21,1,20240602 21,20.2,0.0,1.4,47.0,0.0,0.0,3765.72
1_20240602 22,1,20240602 22,19.7,0.0,1.1,48.0,0.0,0.0,2921.34
1_20240602 23,1,20240602 23,18.9,0.0,0.7,52.0,0.0,0.0,3983.07
1_20240603 00,1,20240603 00,18.1,0.0,1.0,59.0,0.0,0.0,4694.85
1_20240603 01,1,20240603 01,17.6,0.0,1.6,66.0,0.0,0.0,3556.89
1_20240603 02,1,20240603 02,17.0,0.0,1.7,71.0,0.0,0.0,4546.83
1_20240603 03,1,20240603 03,16.7,0.0,1.3,74.0,0.0,0.0,4361.16
1_20240603 04,1,20240603 04,16.1,0.0,2.4,77.0,0.0,0.0,3781.92
1_20240603 05,1,20240603 05,15.9,0.0,2.0,78.0,0.0,0.0,3628.62
1_20240603 06,1,20240603 06,16.0,0.0,2.2,79.0,0.0,0.05,3792.57
1_20240603 07,1,20240603 07,17.3,0.0,2.4,71.0,1.0,0.59,5465.52
1_20240603 08,1,20240603 08,19.6,0.0,2.6,59.0,1.0,1.36,5193.57
1_20240603 09,1,20240603 09,21.4,0.0,2.6,52.0,1.0,2.1,4440.9
1_20240603 10,1,20240603 10,23.0,0.0,2.7,44.0,1.0,2.72,4532.16
1_20240603 11,1,20240603 11,24.4,0.0,2.3,39.0,1.0,3.32,4622.67
1_20240603 12,1,20240603 12,25.4,0.0,2.6,35.0,1.0,3.63,4666.05
1_20240603 13,1,20240603 13,26.4,0.0,2.8,34.0,1.0,3.76,5119.02
1_20240603 14,1,20240603 14,27.4,0.0,2.3,32.0,1.0,3.65,5365.08
1_20240603 15,1,20240603 15,28.2,0.0,3.7,33.0,1.0,3.36,5315.04
1_20240603 16,1,20240603 16,28.5,0.0,1.2,32.0,0.9,2.84,5303.46
1_20240603 17,1,20240603 17,27.2,0.0,2.6,36.0,0.5,1.33,5295.57
1_20240603 18,1,20240603 18,26.6,0.0,1.9,35.0,0.2,0.52,5768.28
1_20240603 19,1,20240603 19,26.1,0.0,3.0,35.0,0.6,0.64,6119.16
1_20240603 20,1,20240603 20,24.4,0.0,3.9,34.0,0.0,0.08,5527.17
1_20240603 21,1,20240603 21,23.2,0.0,3.6,34.0,0.0,0.0,4399.74
1_20240603 22,1,20240603 22,22.1,0.0,3.4,35.0,0.0,0.0,5204.19
1_20240603 23,1,20240603 23,21.1,0.0,3.2,36.0,0.0,0.0,6117.81
1_20240604 00,1,20240604 00,20.4,0.0,3.9,37.0,0.0,0.0,5812.08
1_20240604 01,1,20240604 01,19.7,0.0,3.0,40.0,0.0,0.0,5202.57
1_20240604 02,1,20240604 02,19.2,0.0,3.7,41.0,0.0,0.0,4658.22
1_20240604 03,1,20240604 03,18.4,0.0,2.3,45.0,0.0,0.0,4565.4
1_20240604 04,1,20240604 04,17.6,0.0,2.6,47.0,0.0,0.0,3671.04
1_20240604 05,1,20240604 05,16.7,0.0,2.1,50.0,0.0,0.0,2445.78
1_20240604 06,1,20240604 06,16.3,0.0,1.4,55.0,0.0,0.04,2652.3
1_20240604 07,1,20240604 07,17.9,0.0,2.3,53.0,1.0,0.63,3919.71
1_20240604 08,1,20240604 08,20.2,0.0,2.9,50.0,1.0,1.37,4596.51
1_20240604 09,1,20240604 09,22.3,0.0,2.1,46.0,1.0,2.1,4143.54
1_20240604 10,1,20240604 10,23.9,0.0,1.5,40.0,1.0,2.69,4420.32
1_20240604 11,1,20240604 11,25.6,0.0,1.7,33.0,1.0,3.26,4407.09
1_20240604 12,1,20240604 12,26.3,0.0,2.2,33.0,1.0,3.58,4427.16
1_20240604 13,1,20240604 13,27.6,0.0,1.7,32.0,1.0,3.67,4554.6
1_20240604 14,1,20240604 14,28.3,0.0,2.4,30.0,1.0,3.57,4557.72
1_20240604 15,1,20240604 15,28.5,0.0,3.3,30.0,1.0,3.26,4516.44
1_20240604 16,1,20240604 16,29.1,0.0,2.7,31.0,1.0,2.76,4418.73
1_20240604 17,1,20240604 17,28.6,0.0,3.4,35.0,1.0,2.1,4825.68
1_20240604 18,1,20240604 18,27.7,0.0,3.5,36.0,1.0,1.38,5573.61
1_20240604 19,1,20240604 19,25.8,0.0,3.6,38.0,1.0,0.64,5915.13
1_20240604 20,1,20240604 20,23.7,0.0,1.7,40.0,0.5,0.12,5363.73
1_20240604 21,1,20240604 21,22.6,0.0,2.6,42.0,0.0,0.0,4870.92
1_20240604 22,1,20240604 22,21.8,0.0,1.4,45.0,0.0,0.0,5070.78
1_20240604 23,1,20240604 23,21.1,0.0,1.3,47.0,0.0,0.0,6063.06
1_20240605 00,1,20240605 00,20.5,0.0,1.8,50.0,0.0,0.0,5762.16
1_20240605 01,1,20240605 01,20.1,0.0,1.8,54.0,0.0,0.0,5578.74
1_20240605 02,1,20240605 02,19.6,0.0,0.5,55.0,0.0,0.0,5545.14
1_20240605 03,1,20240605 03,19.0,0.0,1.3,59.0,0.0,0.0,4662.54
1_20240605 04,1,20240605 04,18.7,0.0,0.9,62.0,0.0,0.0,4695.18
1_20240605 05,1,20240605 05,18.3,0.0,0.3,64.0,0.0,0.0,5279.85
1_20240605 06,1,20240605 06,18.1,0.0,0.9,66.0,0.0,0.05,4258.95
1_20240605 07,1,20240605 07,19.0,0.0,1.4,63.0,1.0,0.56,3361.59
1_20240605 08,1,20240605 08,21.8,0.0,1.4,55.0,1.0,1.27,4038.93
1_20240605 09,1,20240605 09,24.1,0.0,2.0,52.0,1.0,1.98,4533.45
1_20240605 10,1,20240605 10,25.2,0.0,2.2,48.0,1.0,2.53,4576.17
1_20240605 11,1,20240605 11,26.9,0.0,2.3,47.0,1.0,2.97,4687.32
1_20240605 12,1,20240605 12,28.0,0.0,2.3,43.0,1.0,3.2,5672.58
1_20240605 13,1,20240605 13,29.6,0.0,1.8,42.0,1.0,3.21,6028.47
1_20240605 14,1,20240605 14,30.0,0.0,2.4,38.0,1.0,2.9,5469.03
1_20240605 15,1,20240605 15,29.5,0.0,2.6,38.0,0.7,2.0,5083.38
1_20240605 16,1,20240605 16,28.7,0.0,3.8,46.0,0.8,1.97,5004.99
1_20240605 17,1,20240605 17,27.7,0.0,3.5,49.0,0.9,1.47,5028.24
1_20240605 18,1,20240605 18,26.2,0.0,2.3,54.0,0.0,0.65,5005.56
1_20240605 19,1,20240605 19,25.0,0.0,2.0,53.0,0.0,0.31,4883.76
1_20240605 20,1,20240605 20,23.5,0.0,2.0,52.0,0.0,0.07,4665.81
1_20240605 21,1,20240605 21,22.6,0.0,0.8,54.0,0.0,0.0,4526.82
1_20240605 22,1,20240605 22,21.8,0.0,2.2,60.0,0.0,0.0,4798.14
1_20240605 23,1,20240605 23,21.4,0.0,2.5,64.0,0.0,0.0,4495.32
1_20240606 00,1,20240606 00,21.1,0.0,1.7,65.0,0.0,0.0,4192.41
1_20240606 01,1,20240606 01,20.7,0.0,0.5,63.0,0.0,0.0,3992.34
1_20240606 02,1,20240606 02,20.1,0.0,1.7,65.0,0.0,0.0,3919.44
1_20240606 03,1,20240606 03,20.0,0.0,1.3,64.0,0.0,0.0,3773.73
1_20240606 04,1,20240606 04,19.8,0.0,1.4,67.0,0.0,0.0,2984.88
1_20240606 05,1,20240606 05,19.5,0.0,1.5,68.0,0.0,0.0,2462.97
1_20240606 06,1,20240606 06,19.4,0.0,1.0,68.0,0.0,0.03,2522.88
1_20240606 07,1,20240606 07,19.7,0.0,0.6,67.0,0.0,0.27,3090.24
1_20240606 08,1,20240606 08,21.8,0.0,1.3,63.0,0.8,0.87,3764.88
1_20240606 09,1,20240606 09,23.6,0.0,1.0,59.0,1.0,1.85,4478.91
1_20240606 10,1,20240606 10,25.7,0.0,1.7,54.0,1.0,2.38,4825.26
1_20240606 11,1,20240606 11,27.4,0.0,2.3,49.0,1.0,2.95,4854.87
1_20240606 12,1,20240606 12,28.2,0.0,1.6,46.0,0.8,2.87,4823.82
1_20240606 13,1,20240606 13,30.1,0.0,2.3,40.0,0.9,3.35,4909.35
1_20240606 14,1,20240606 14,29.4,0.0,2.5,40.0,0.8,2.79,4937.49
1_20240606 15,1,20240606 15,30.6,0.0,1.7,37.0,0.7,2.49,5028.6
1_20240606 16,1,20240606 16,30.9,0.0,3.6,35.0,0.9,2.35,4975.74
1_20240606 17,1,20240606 17,29.8,0.0,3.1,44.0,0.6,1.47,5038.44
1_20240606 18,1,20240606 18,26.8,0.0,4.2,53.0,0.2,0.32,5780.1
1_20240606 19,1,20240606 19,26.0,0.0,3.2,52.0,0.6,0.4,5632.14
1_20240606 20,1,20240606 20,24.8,0.0,3.1,53.0,0.0,0.08,4980.63
1_20240606 21,1,20240606 21,23.4,0.0,3.5,54.0,0.0,0.0,3222.54
1_20240606 22,1,20240606 22,22.1,0.0,2.3,53.0,0.0,0.0,3652.29
1_20240606 23,1,20240606 23,21.4,0.0,2.5,52.0,0.0,0.0,4042.8
1_20240607 00,1,20240607 00,20.8,0.0,0.9,53.0,0.0,0.0,3948.39
1_20240607 01,1,20240607 01,20.3,0.0,1.1,55.0,0.0,0.0,2766.99
1_20240607 02,1,20240607 02,19.8,0.0,1.0,57.0,0.0,0.0,3072.3
1_20240607 03,1,20240607 03,19.3,0.0,1.4,59.0,0.0,0.0,3737.37
1_20240607 04,1,20240607 04,18.9,0.0,1.6,63.0,0.0,0.0,3738.84
1_20240607 05,1,20240607 05,18.5,0.0,2.5,68.0,0.0,0.0,3145.14
1_20240607 06,1,20240607 06,18.3,0.0,0.5,70.0,0.0,0.07,2598.51
1_20240607 07,1,20240607 07,19.3,0.0,0.4,68.0,0.0,0.49,3478.41
1_20240607 08,1,20240607 08,20.7,0.0,0.8,61.0,0.7,0.9,4552.5
1_20240607 09,1,20240607 09,22.4,0.0,1.9,57.0,1.0,1.67,4543.05
1_20240607 10,1,20240607 10,23.9,0.0,1.9,51.0,1.0,2.14,4836.24
1_20240607 11,1,20240607 11,25.0,0.0,1.7,47.0,0.7,2.26,4923.93
1_20240607 12,1,20240607 12,25.9,0.0,2.2,44.0,0.7,2.32,4565.91
1_20240607 13,1,20240607 13,26.3,0.0,2.0,43.0,0.4,2.17,4641.18
1_20240607 14,1,20240607 14,27.1,0.0,1.9,42.0,0.4,1.99,4585.41
1_20240607 15,1,20240607 15,27.7,0.0,3.1,42.0,0.7,2.08,4526.43
1_20240607 16,1,20240607 16,27.6,0.0,1.9,41.0,0.5,1.75,4558.62
1_20240607 17,1,20240607 17,27.6,0.0,2.7,42.0,0.2,1.11,5306.4
1_20240607 18,1,20240607 18,27.6,0.0,1.9,42.0,0.8,1.15,5838.39
1_20240607 19,1,20240607 19,25.7,0.0,3.4,50.0,0.0,0.26,6125.85
1_20240607 20,1,20240607 20,24.1,0.0,2.6,49.0,0.0,0.05,5478.39
1_20240607 21,1,20240607 21,23.3,0.0,1.9,53.0,0.0,0.0,4299.99
1_20240607 22,1,20240607 22,22.4,0.0,2.4,60.0,0.0,0.0,3914.49
1_20240607 23,1,20240607 23,22.0,0.0,2.0,57.0,0.0,0.0,5652.33
1_20240608 00,1,20240608 00,19.9,0.8,2.3,67.0,0.0,0.0,4960.32
1_20240608 01,1,20240608 01,19.6,0.0,0.6,69.0,0.0,0.0,4391.73
1_20240608 02,1,20240608 02,19.6,0.0,1.0,66.0,0.0,0.0,5055.51
1_20240608 03,1,20240608 03,19.2,0.0,1.3,75.0,0.0,0.0,5389.44
1_20240608 04,1,20240608 04,18.3,0.5,1.2,82.0,0.0,0.0,5146.26
1_20240608 05,1,20240608 05,18.0,0.0,1.4,84.0,0.0,0.0,4782.57
1_20240608 06,1,20240608 06,18.0,0.0,2.2,86.0,0.0,0.01,4581.75
1_20240608 07,1,20240608 07,17.9,0.6,1.8,89.0,0.0,0.07,3139.86
1_20240608 08,1,20240608 08,18.2,0.3,1.4,90.0,0.0,0.21,4111.02
1_20240608 09,1,20240608 09,18.1,2.4,1.1,91.0,0.0,0.11,4687.95
1_20240608 10,1,20240608 10,18.2,12.3,0.9,93.0,0.0,0.08,5074.44
1_20240608 11,1,20240608 11,18.9,0.5,0.6,92.0,0.0,0.34,5360.85
1_20240608 12,1,20240608 12,19.5,0.3,1.0,89.0,0.0,0.51,5397.21
1_20240608 13,1,20240608 13,20.5,0.0,1.6,86.0,0.0,0.98,5410.35
1_20240608 14,1,20240608 14,21.9,0.0,3.0,81.0,0.0,1.35,5428.41
1_20240608 15,1,20240608 15,23.1,0.0,2.3,75.0,0.2,1.42,5531.04
1_20240608 16,1,20240608 16,24.2,0.0,3.2,69.0,0.3,1.46,5304.66
1_20240608 17,1,20240608 17,24.2,0.0,3.1,61.0,0.4,1.34,5364.75
1_20240608 18,1,20240608 18,24.0,0.0,3.3,60.0,0.7,1.22,5373.63
1_20240608 19,1,20240608 19,23.2,0.0,2.6,64.0,0.5,0.49,5333.49
1_20240608 20,1,20240608 20,22.0,0.0,1.7,72.0,0.4,0.11,5411.25
1_20240608 21,1,20240608 21,21.2,0.0,1.3,76.0,0.0,0.0,4292.37
1_20240608 22,1,20240608 22,20.6,0.0,1.9,79.0,0.0,0.0,4599.39
1_20240608 23,1,20240608 23,20.2,0.0,0.5,80.0,0.0,0.0,5150.1
1_20240609 00,1,20240609 00,19.5,0.0,0.9,84.0,0.0,0.0,5350.35
1_20240609 01,1,20240609 01,19.0,0.0,0.9,85.0,0.0,0.0,5523.81
1_20240609 02,1,20240609 02,18.6,0.0,1.3,88.0,0.0,0.0,5441.73
1_20240609 03,1,20240609 03,18.1,0.0,1.0,89.0,0.0,0.0,5365.44
1_20240609 04,1,20240609 04,17.7,0.0,1.4,90.0,0.0,0.0,4025.13
1_20240609 05,1,20240609 05,17.7,0.0,1.3,90.0,0.0,0.0,3518.52
1_20240609 06,1,20240609 06,17.4,0.0,2.0,91.0,0.0,0.04,2617.47
1_20240609 07,1,20240609 07,18.2,0.0,1.7,91.0,0.4,0.42,3322.14
1_20240609 08,1,20240609 08,20.3,0.0,0.6,84.0,1.0,1.31,3783.39
1_20240609 09,1,20240609 09,22.2,0.0,1.0,73.0,1.0,1.89,5581.68
1_20240609 10,1,20240609 10,23.8,0.0,1.9,68.0,1.0,2.41,4817.31
1_20240609 11,1,20240609 11,25.3,0.0,2.3,61.0,1.0,3.13,4533.9
1_20240609 12,1,20240609 12,26.0,0.0,2.3,55.0,1.0,3.19,5324.97
1_20240609 13,1,20240609 13,26.8,0.0,2.1,50.0,1.0,3.08,5347.53
1_20240609 14,1,20240609 14,27.8,0.0,2.1,51.0,1.0,3.13,4625.31
1_20240609 15,1,20240609 15,28.8,0.0,2.8,49.0,1.0,3.06,4581.33
1_20240609 16,1,20240609 16,28.5,0.0,4.1,49.0,1.0,2.67,5042.79
1_20240609 17,1,20240609 17,27.4,0.0,4.0,52.0,1.0,2.06,5284.47
1_20240609 18,1,20240609 18,26.8,0.0,3.0,52.0,1.0,1.34,5300.28
1_20240609 19,1,20240609 19,25.3,0.0,2.2,60.0,0.9,0.56,5102.97
1_20240609 20,1,20240609 20,23.4,0.0,2.1,65.0,0.0,0.09,4564.08
1_20240609 21,1,20240609 21,22.8,0.0,2.1,68.0,0.0,0.0,4180.68
1_20240609 22,1,20240609 22,22.0,0.0,1.7,69.0,0.0,0.0,4512.6
1_20240609 23,1,20240609 23,21.4,0.0,1.8,72.0,0.0,0.0,5167.62
1_20240610 00,1,20240610 00,21.0,0.0,0.6,74.0,0.0,0.0,5369.28
1_20240610 01,1,20240610 01,20.4,0.0,1.6,75.0,0.0,0.0,4824.6
1_20240610 02,1,20240610 02,20.0,0.0,1.3,78.0,0.0,0.0,4445.1
1_20240610 03,1,20240610 03,19.7,0.0,0.5,79.0,0.0,0.0,4619.55
1_20240610 04,1,20240610 04,19.5,0.0,1.3,81.0,0.0,0.0,3755.49
1_20240610 05,1,20240610 05,19.3,0.0,0.5,83.0,0.0,0.0,3963.12
1_20240610 06,1,20240610 06,19.0,0.0,1.7,85.0,0.0,0.06,4397.67
1_20240610 07,1,20240610 07,20.0,0.0,1.6,83.0,0.8,0.46,5053.95
1_20240610 08,1,20240610 08,22.0,0.0,1.1,75.0,1.0,1.09,4664.22
1_20240610 09,1,20240610 09,23.8,0.0,1.7,64.0,1.0,1.8,4681.41
1_20240610 10,1,20240610 10,25.6,0.0,2.4,53.0,1.0,2.43,4808.88
1_20240610 11,1,20240610 11,26.9,0.0,2.7,52.0,0.8,2.67,4699.95
1_20240610 12,1,20240610 12,28.3,0.0,2.2,52.0,1.0,3.17,4883.22
1_20240610 13,1,20240610 13,29.5,0.0,2.9,48.0,1.0,3.28,4956.3
1_20240610 14,1,20240610 14,30.5,0.0,3.3,46.0,1.0,3.23,5442.42
1_20240610 15,1,20240610 15,30.9,0.0,3.4,44.0,0.9,2.8,5479.23
1_20240610 16,1,20240610 16,29.6,0.0,4.2,51.0,0.6,2.04,5423.67
1_20240610 17,1,20240610 17,29.8,0.0,4.3,51.0,1.0,1.78,5322.15
1_20240610 18,1,20240610 18,28.6,0.0,3.7,54.0,1.0,1.17,6111.15
1_20240610 19,1,20240610 19,26.8,0.0,3.6,62.0,0.8,0.5,5836.83
1_20240610 20,1,20240610 20,24.5,0.0,2.9,71.0,0.0,0.09,4710.45
1_20240610 21,1,20240610 21,23.8,0.0,2.8,75.0,0.0,0.0,4266.51
1_20240610 22,1,20240610 22,23.2,0.0,2.1,78.0,0.0,0.0,5096.19
1_20240610 23,1,20240610 23,22.9,0.0,2.1,80.0,0.0,0.0,5873.52
1_20240611 00,1,20240611 00,23.1,0.0,3.1,77.0,0.0,0.0,5568.06
1_20240611 01,1,20240611 01,22.9,0.0,3.1,78.0,0.0,0.0,5474.46
1_20240611 02,1,20240611 02,22.6,0.0,2.7,78.0,0.0,0.0,5145.21
1_20240611 03,1,20240611 03,22.4,0.0,2.0,79.0,0.0,0.0,4785.99
1_20240611 04,1,20240611 04,22.2,0.0,2.3,78.0,0.0,0.0,5379.45
1_20240611 05,1,20240611 05,22.0,0.0,2.5,78.0,0.0,0.0,5753.97
1_20240611 06,1,20240611 06,22.0,0.0,1.3,77.0,0.0,0.04,5419.5
1_20240611 07,1,20240611 07,22.2,0.0,2.6,76.0,0.0,0.29,4319.88
1_20240611 08,1,20240611 08,23.2,0.0,2.2,73.0,0.2,0.77,4871.97
1_20240611 09,1,20240611 09,24.8,0.0,1.5,68.0,0.7,1.59,5495.1
1_20240611 10,1,20240611 10,25.5,0.0,2.7,64.0,0.7,2.01,5114.94
1_20240611 11,1,20240611 11,26.9,0.0,1.6,58.0,1.0,3.03,4662.27
1_20240611 12,1,20240611 12,28.5,0.0,2.1,53.0,1.0,3.32,4672.68
1_20240611 13,1,20240611 13,29.7,0.0,3.3,51.0,1.0,3.45,4803.96
1_20240611 14,1,20240611 14,30.6,0.0,2.7,51.0,1.0,3.3,5235.48
1_20240611 15,1,20240611 15,31.2,0.0,3.9,49.0,1.0,2.98,5392.02
1_20240611 16,1,20240611 16,31.4,0.0,2.8,48.0,1.0,2.61,5366.7
1_20240611 17,1,20240611 17,29.7,0.0,4.3,41.0,1.0,1.89,5394.03
1_20240611 18,1,20240611 18,28.9,0.0,3.0,43.0,1.0,1.28,4989.66
1_20240611 19,1,20240611 19,26.7,0.0,2.9,52.0,0.6,0.53,4648.11
1_20240611 20,1,20240611 20,25.2,0.0,2.9,58.0,0.0,0.08,3850.38
1_20240611 21,1,20240611 21,23.9,0.0,2.8,61.0,0.0,0.0,3326.97
1_20240611 22,1,20240611 22,23.0,0.0,1.6,66.0,0.0,0.0,5574.12
1_20240611 23,1,20240611 23,22.3,0.0,1.6,67.0,0.0,0.0,6062.52
1_20240612 00,1,20240612 00,21.7,0.0,1.0,69.0,0.0,0.0,5884.05
1_20240612 01,1,20240612 01,21.2,0.0,0.3,70.0,0.0,0.0,5556.96
1_20240612 02,1,20240612 02,20.7,0.0,0.9,73.0,0.0,0.0,5467.53
1_20240612 03,1,20240612 03,20.4,0.0,1.6,77.0,0.0,0.0,5532.33
1_20240612 04,1,20240612 04,19.8,0.0,0.6,76.0,0.0,0.0,3900.9
1_20240612 05,1,20240612 05,19.4,0.0,0.7,80.0,0.0,0.0,4107.18
1_20240612 06,1,20240612 06,19.6,0.0,2.2,80.0,0.0,0.07,5232.78
1_20240612 07,1,20240612 07,19.9,0.0,1.4,82.0,0.8,0.47,5319.09
1_20240612 08,1,20240612 08,21.9,0.0,1.6,73.0,1.0,1.17,4725.09
1_20240612 09,1,20240612 09,24.2,0.0,1.6,62.0,1.0,1.84,5366.19
1_20240612 10,1,20240612 10,26.0,0.0,2.4,50.0,1.0,2.51,4675.23
1_20240612 11,1,20240612 11,27.9,0.0,2.0,48.0,1.0,3.1,4556.37
1_20240612 12,1,20240612 12,29.3,0.0,1.9,42.0,1.0,3.41,4664.64
1_20240612 13,1,20240612 13,30.6,0.0,1.7,39.0,1.0,3.36,4950.66
1_20240612 14,1,20240612 14,31.5,0.0,2.6,38.0,1.0,3.44,6317.91
1_20240612 15,1,20240612 15,30.9,0.0,3.8,43.0,1.0,3.03,6237.09
1_20240612 16,1,20240612 16,30.0,0.0,3.4,43.0,1.0,2.35,5673.84
1_20240612 17,1,20240612 17,28.7,0.0,3.9,44.0,0.6,1.41,4939.8
1_20240612 18,1,20240612 18,28.0,0.0,3.3,50.0,0.9,1.27,4971.63
1_20240612 19,1,20240612 19,25.3,0.0,3.8,56.0,0.0,0.24,4678.08
1_20240612 20,1,20240612 20,24.2,0.0,2.7,63.0,0.0,0.06,4023.63
1_20240612 21,1,20240612 21,23.4,0.0,2.4,65.0,0.0,0.0,3387.39
1_20240612 22,1,20240612 22,22.8,0.0,1.8,65.0,0.0,0.0,5730.03
1_20240612 23,1,20240612 23,22.5,0.0,1.4,66.0,0.0,0.0,6147.24
1_20240613 00,1,20240613 00,22.2,0.0,2.1,67.0,0.0,0.0,5126.13
1_20240613 01,1,20240613 01,21.8,0.0,0.2,67.0,0.0,0.0,4734.33
1_20240613 02,1,20240613 02,21.5,0.0,0.2,64.0,0.0,0.0,4617.03
1_20240613 03,1,20240613 03,21.0,0.0,0.6,65.0,0.0,0.0,4416.54
1_20240613 04,1,20240613 04,20.7,0.0,0.5,69.0,0.0,0.0,3757.14
1_20240613 05,1,20240613 05,20.1,0.0,1.1,69.0,0.0,0.0,4543.41
1_20240613 06,1,20240613 06,20.1,0.0,1.2,71.0,0.0,0.04,4825.68
1_20240613 07,1,20240613 07,21.1,0.0,1.9,72.0,0.8,0.49,4310.52
1_20240613 08,1,20240613 08,23.3,0.0,1.8,66.0,1.0,1.12,4236.87
1_20240613 09,1,20240613 09,25.6,0.0,0.8,59.0,1.0,1.95,4805.07
1_20240613 10,1,20240613 10,27.5,0.0,1.2,53.0,1.0,2.56,4875.09
1_20240613 11,1,20240613 11,29.1,0.0,2.1,46.0,1.0,3.08,4869.03
1_20240613 12,1,20240613 12,30.6,0.0,2.5,41.0,1.0,3.43,4867.47
1_20240613 13,1,20240613 13,31.5,0.0,3.5,32.0,1.0,3.55,4940.76
1_20240613 14,1,20240613 14,32.2,0.0,3.0,36.0,1.0,3.47,4910.34
1_20240613 15,1,20240613 15,32.3,0.0,2.5,38.0,1.0,3.14,4813.05
1_20240613 16,1,20240613 16,32.6,0.0,3.2,33.0,1.0,2.7,4768.38
1_20240613 17,1,20240613 17,31.8,0.0,3.8,35.0,1.0,2.09,5056.8
1_20240613 18,1,20240613 18,31.0,0.0,3.2,37.0,1.0,1.39,5178.9
1_20240613 19,1,20240613 19,29.6,0.0,2.7,43.0,1.0,0.66,4970.31
